primary_category_id,primary_category_ko,normalized_institution,author_count,selected_paper_count,matched_filter_views,dual_affiliation_author_count,raw_affiliation_variants
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Sungkyunkwan University,51,18,university,0,"College of Information and Communication Engineering, Sungkyunkwan University, South Korea | Department of Computer Science and Engineering, Sungkyunkwan University, Suwon 16419, Korea | Georgia Institute of Technology; Sung Kyun Kwan University | Sung Kyun Kwan University | Sung Kyun Kwan University; Sung Kyun Kwan University | Sungkyunkwan University | SungKyunKwan University | Sungkyunkwan University (SKKU)"
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Chung-Ang University,29,18,university,0,Chung-ang University | Chung-Ang University | Chung-Ang University (CAU) | Chung-Ang University Seoul | Chung-Ang University; Soongsil University
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Kyung Hee University,23,8,university,0,Kyung Hee University | Kyung Hee University; Kyung Hee University | KyungHee University
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,UNIST,23,9,university,0,"Ulsan National Institute of Science and Technology | Ulsan National Institute of Science and Technology (UNIST) | Ulsan National Institute of Science and Technology; Hanyang Universty | UNIST | UNIST, Korea"
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Hanyang University,20,7,university,0,Hanyang University | Hanyang Universty
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,GIST,16,11,university|company,1,"AI Graduate School, Gwangju Institute of Science and Technology(GIST) | CJ AI center; Gwangju Institute of Science and Technology | GIST | Gwangju Institute of Science and Technology | Gwangju Institute of Science and Technology (GIST) | Yonsei University; Gwangju Institute of Science and Technology"
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Ewha Womans University,14,7,university,0,Ewha W. University | Ewha womans university | Ewha Womans University | Ewha Women's University
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Kyungpook National University,10,4,university,0,KNU | Kyungpook National University
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Pusan National University,10,6,university,0,Pusan National University
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,SeoulTech,9,5,university,0,Seoul National University of Science & Technology | Seoul National University of Science and Technology | SEOUL NATIONAL UNIVERSITY OF SCIENCE AND TECHNOLOGY | SeoulTech
