candidate_identity_key,eccv_first_author_name,eccv_first_author_affiliation_raw,eccv_selected_paper_count,eccv_virtual_poster_ids,eccv_titles,source_policy,scholar_status,scholar_profile_url,scholar_search_url,scholar_identity_evidence_url,unknown_reason,eligible_prior_work_count,first_listed_unmarked_count,explicit_equal_contribution_first_count,contribution_marker_unknown_count
cai_1849jvr,Jinho Kim,Yonsei University,1,4299,Dual-Output Multi-Exposure HDR Reconstruction via SDR Fusion and Gain Map Inverse Tone Mapping,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Dual-Output+Multi-Exposure+HDR+Reconstruction+via+SDR+Fusion+and+Gain+Map+Inverse+Tone+Mapping,,scholar_access_blocked,,,,
cai_18buty,Jaeyoung Chung,Seoul National University,1,5295,Map2World: Segment Map Conditioned Text to 3D World Generation,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Map2World%3A+Segment+Map+Conditioned+Text+to+3D+World+Generation,,scholar_access_blocked,,,,
cai_18cbfg7,Min Hyeok Bang,Jeonbuk National University,1,4174,Geometry-Aware Style Transfer in 3D Gaussian Splatting,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Geometry-Aware+Style+Transfer+in+3D+Gaussian+Splatting,,scholar_access_blocked,,,,
cai_18fxd9z,Geo Ahn,Kyung Hee University,1,3461,Why Can't I Open My Drawer? Mitigating Object-Driven Shortcuts in Zero-Shot Compositional Action Recognition,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Why+Can%27t+I+Open+My+Drawer%3F+Mitigating+Object-Driven+Shortcuts+in+Zero-Shot+Compositional+Action+Recognition,,scholar_access_blocked,,,,
cai_18w3st,Byoungwoo Kim,KAIST,1,3383,ProSR: Semantic-Prototype-Guided Discrete Modeling for Physically Consistent SAR Super-Resolution,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=ProSR%3A+Semantic-Prototype-Guided+Discrete+Modeling+for+Physically+Consistent+SAR+Super-Resolution,,scholar_access_blocked,,,,
cai_18x3r1d,Dogyun Park,Korea University,1,5488,EFlow: Fast Few-Step Video Generator Training from Scratch via Efficient Solution Flow,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=EFlow%3A+Fast+Few-Step+Video+Generator+Training+from+Scratch+via+Efficient+Solution+Flow,,scholar_access_blocked,,,,
cai_19a1klw,Inpyo Song,SungKyunKwan University,1,5841,Bounding-Box Trajectories Matter for Video Anomaly Detection,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Bounding-Box+Trajectories+Matter+for+Video+Anomaly+Detection,,scholar_access_blocked,,,,
cai_19ar351,Jooyeol Yun,Korea Advanced Institute of Science and Technology,1,3480,ReDesign: Recovering Editable Design Structures from Raster Images via Agentic Decomposition,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=ReDesign%3A+Recovering+Editable+Design+Structures+from+Raster+Images+via+Agentic+Decomposition,,scholar_access_blocked,,,,
cai_19cht8g,Min-Jung Kim,KAIST,1,4255,Infinite-Homography as Robust Conditioning for Camera-Controlled Video Generation,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Infinite-Homography+as+Robust+Conditioning+for+Camera-Controlled+Video+Generation,,scholar_access_blocked,,,,
cai_19esvks,Seonghwan Park,Korea Electronics Technology Institute (KETI),1,5630,Exploiting Local Flatness for Efficient Out-of-Distribution Detection,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Exploiting+Local+Flatness+for+Efficient+Out-of-Distribution+Detection,,scholar_access_blocked,,,,
cai_19fod1y,Yunseok Yang,Jeonbuk National University,1,4884,PDF-Omni: Poincaré Dual Disk Distortion Field-based Recurrent Update for Omnidirectional Stereo Matching,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=PDF-Omni%3A+Poincar%C3%A9+Dual+Disk+Distortion+Field-based+Recurrent+Update+for+Omnidirectional+Stereo+Matching,,scholar_access_blocked,,,,
cai_1a10uti,Byeonghun Lee,Korea University,1,5013,ReAL: Reference-to-Image (R2I) Aware Latent Diffusion for Image Super-Resolution,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=ReAL%3A+Reference-to-Image+%28R2I%29+Aware+Latent+Diffusion+for+Image+Super-Resolution,,scholar_access_blocked,,,,
cai_1a61p0s,Seonghyun Jin,Korea Advanced Institute of Science & Technology,1,4732,FILT3R: Latent State Adaptive Kalman Filter for Streaming 3D Reconstruction,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=FILT3R%3A+Latent+State+Adaptive+Kalman+Filter+for+Streaming+3D+Reconstruction,,scholar_access_blocked,,,,
cai_1a82rny,Dong-Hyun Moon,Inha University,1,5314,SARIF: Segment Anything for Robust Image Forensics,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=SARIF%3A+Segment+Anything+for+Robust+Image+Forensics,,scholar_access_blocked,,,,
cai_1a9381q,Heejun Park,Korea Advanced Institute of Science & Technology,1,4159,"RAF: Reliability-Aware Fusion of Camera, LiDAR, and 4D RADAR for Robust 3D Object Detection in Adverse Weather",google_scholar_only,unknown,,https://scholar.google.com/scholar?q=RAF%3A+Reliability-Aware+Fusion+of+Camera%2C+LiDAR%2C+and+4D+RADAR+for+Robust+3D+Object+Detection+in+Adverse+Weather,,scholar_access_blocked,,,,
cai_1aaah60,Jaerin Lee,Seoul National University,1,5518,Vector Scaffolding: Inter-Scale Orchestration for Differentiable Image Vectorization,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Vector+Scaffolding%3A+Inter-Scale+Orchestration+for+Differentiable+Image+Vectorization,,scholar_access_blocked,,,,
cai_1ai4ln6,Mansoo Jung,Seoul National University,1,4612,MixTTA: Low-Rank Cross-Channel Mixing for Reliable Test-Time Adaptation,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=MixTTA%3A+Low-Rank+Cross-Channel+Mixing+for+Reliable+Test-Time+Adaptation,,scholar_access_blocked,,,,
cai_1avphu5,Mingi Kim,Chungnam National University,1,4696,BrepCoder: A Unified Multimodal Large Language Model for Multi-task B-rep Reasoning,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=BrepCoder%3A+A+Unified+Multimodal+Large+Language+Model+for+Multi-task+B-rep+Reasoning,,scholar_access_blocked,,,,
cai_1b0qrk4,Seonho Lee,Sogang university,1,5958,Remembering Across Blocks: Topology-Conditioned Block-Progressive Memory for Skeleton-Based Action Recognition,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Remembering+Across+Blocks%3A+Topology-Conditioned+Block-Progressive+Memory+for+Skeleton-Based+Action+Recognition,,scholar_access_blocked,,,,
cai_1bubn2q,Geon Tack Lee,Korea Advanced Institute of Science & Technology; New York University Abu Dhabi,1,3650,Denoised Variance-Based Pruning with Optimal Brain Bias Compensation,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Denoised+Variance-Based+Pruning+with+Optimal+Brain+Bias+Compensation,,scholar_access_blocked,,,,
cai_1bw2xeo,Seo-Yeon Choi,Jeonbuk National University,1,5444,Semantic Line Diffusion: Character-Consistent Line Art from text-annotated Storyboards,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Semantic+Line+Diffusion%3A+Character-Consistent+Line+Art+from+text-annotated+Storyboards,,scholar_access_blocked,,,,
cai_1c6rbs6,Minh Son Hoang,Korea Advanced Institute of Science & Technology,1,4909,FreqOrtho-SR: Frequency-Guided Orthogonal Expert Learning for Real-World Image Super-Resolution,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=FreqOrtho-SR%3A+Frequency-Guided+Orthogonal+Expert+Learning+for+Real-World+Image+Super-Resolution,,scholar_access_blocked,,,,
cai_1cjlfph,Taeho Kang,Seoul National University,1,4552,Cross-View Yaw Estimation in Location Uncertainty with Line-Aligning Yaw Scoring,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Cross-View+Yaw+Estimation+in+Location+Uncertainty+with+Line-Aligning+Yaw+Scoring,,scholar_access_blocked,,,,
cai_1cqvt79,Sangmin Han,LG Electronics,1,4269,LIIFusion: Coarse-to-fine Framework for Generative MEF via Implicit Neural Representation,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=LIIFusion%3A+Coarse-to-fine+Framework+for+Generative+MEF+via+Implicit+Neural+Representation,,scholar_access_blocked,,,,
cai_1cwcdyg,Jonghyun Kim,LG Electronics,1,4276,Single-Query Person-Centric Bimanual Hand-Object Interaction Detection,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Single-Query+Person-Centric+Bimanual+Hand-Object+Interaction+Detection,,scholar_access_blocked,,,,
cai_1d1f4lw,Junha Lee,South Korea,1,4336,AffoGato: Open-Vocabulary Affordance Grounding with Automated Data Generation at Scale,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=AffoGato%3A+Open-Vocabulary+Affordance+Grounding+with+Automated+Data+Generation+at+Scale,,scholar_access_blocked,,,,
cai_1dfrfb7,Jihyun Lee,Sung Kyun Kwan University,1,5215,Mitigating Modality and Language-Style Gaps for Zero-Shot Video Moment Retrieval,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Mitigating+Modality+and+Language-Style+Gaps+for+Zero-Shot+Video+Moment+Retrieval,,scholar_access_blocked,,,,
cai_1dl94c2,Kihyun Na,Handong Global University,1,4096,"Rethinking Garment Conditioning in Diffusion-based Virtual Try-On: Decouple, Don't Denoise",google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Rethinking+Garment+Conditioning+in+Diffusion-based+Virtual+Try-On%3A+Decouple%2C+Don%27t+Denoise,,scholar_access_blocked,,,,
cai_1dmv880,Cheng-Yaw Low,Changwon National University,1,4527,Dual-Margin Embedding for Fine-Grained Long-Tailed Plant Taxonomy,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Dual-Margin+Embedding+for+Fine-Grained+Long-Tailed+Plant+Taxonomy,,scholar_access_blocked,,,,
cai_1e07dad,Jiwon Kim,Seoul National University,1,4822,WARP: Wide Attention with Rich Projections for Image Super-Resolution,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=WARP%3A+Wide+Attention+with+Rich+Projections+for+Image+Super-Resolution,,scholar_access_blocked,,,,
cai_1e8w2lv,Seunghyeon Kim,POSTECH,1,5152,Activation Quantization of Vision Encoders Needs Prefixing Registers,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Activation+Quantization+of+Vision+Encoders+Needs+Prefixing+Registers,,scholar_access_blocked,,,,
cai_1ek7qzh,Taehun Kong,LG Electronics,1,5016,STVFocus: Query-guided Spatio-Temporal Visual Focusing for Video LLMs,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=STVFocus%3A+Query-guided+Spatio-Temporal+Visual+Focusing+for+Video+LLMs,,scholar_access_blocked,,,,
cai_1f5a4rn,Jungsu Kim,Yonsei University,1,4335,HiChor: Hierarchical Choreography Generation from Pop Music with Choreographic Primitives,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=HiChor%3A+Hierarchical+Choreography+Generation+from+Pop+Music+with+Choreographic+Primitives,,scholar_access_blocked,,,,
cai_1f7fb09,Yunseo Yang,KAIST,1,4019,PriSplat: Propagating Reliable Multi-view Information for Distractor-Free 3DGS,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=PriSplat%3A+Propagating+Reliable+Multi-view+Information+for+Distractor-Free+3DGS,,scholar_access_blocked,,,,
cai_1fhyq5f,Hyunmin Cho,Korea University,1,5714,Recurrent Sinusoidal INRs for Efficient High-Fidelity Representation,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Recurrent+Sinusoidal+INRs+for+Efficient+High-Fidelity+Representation,,scholar_access_blocked,,,,
cai_1fkh01b,Jaehyun Jang,KAIST,1,5853,Token-level Response-visual Attention Guidance for Multimodal LLMs Knowledge Distillation,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Token-level+Response-visual+Attention+Guidance+for+Multimodal+LLMs+Knowledge+Distillation,,scholar_access_blocked,,,,
cai_1frm1kx,Daeun Lee,Sung Kyun Kwan University,1,5616,DICE: Disentangled Instance-Class knowlEdge prompt tuning via SAE for Vision-Language Models,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=DICE%3A+Disentangled+Instance-Class+knowlEdge+prompt+tuning+via+SAE+for+Vision-Language+Models,,scholar_access_blocked,,,,
cai_1g0eg9d,Jinnyeong Kim,POSTECH,1,5101,Depth-guided Multi-view Exposure Bracketing for HDR Robot Vision,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Depth-guided+Multi-view+Exposure+Bracketing+for+HDR+Robot+Vision,,scholar_access_blocked,,,,
cai_1ggio59,Jeongha Lee,Korea Institute of Science and Technology (KIST),1,5399,Through Van Gogh’s Eyes: Global Style Transfer with Diffusion Model,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Through+Van+Gogh%E2%80%99s+Eyes%3A+Global+Style+Transfer+with+Diffusion+Model,,scholar_access_blocked,,,,
cai_1gi6tzf,Minkuk Kim,Kyung Hee University,1,4667,ReQuest: Rethinking-based Question-Aware Frame Selection for Long-Form Video QA,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=ReQuest%3A+Rethinking-based+Question-Aware+Frame+Selection+for+Long-Form+Video+QA,,scholar_access_blocked,,,,
cai_1gmil2t,Byungwoo Jeon,KAIST,1,4502,SpatialBoost: Enhancing Visual Representation through Language-Guided Reasoning,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=SpatialBoost%3A+Enhancing+Visual+Representation+through+Language-Guided+Reasoning,,scholar_access_blocked,,,,
cai_1gstyyj,Gwanhyeong Koo,KAIST,1,4474,InSpace: Structure-Aware 3D Indoor Scene Generation from a Single 360° Image,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=InSpace%3A+Structure-Aware+3D+Indoor+Scene+Generation+from+a+Single+360%C2%B0+Image,,scholar_access_blocked,,,,
cai_1h8liem,Minh-Quan Bui,Korea Advanced Institute of Science & Technology,1,3540,AirSplat: Alignment and Rating for Robust Feed-Forward 3D Gaussian Splatting,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=AirSplat%3A+Alignment+and+Rating+for+Robust+Feed-Forward+3D+Gaussian+Splatting,,scholar_access_blocked,,,,
cai_1hjrh6i,Eungjune Shim,CLO Virtual Fashion Inc.,1,5678,DiffGI: Differentiable Geometry Images for High-Fidelity Thin-Shell 3D Generation,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=DiffGI%3A+Differentiable+Geometry+Images+for+High-Fidelity+Thin-Shell+3D+Generation,,scholar_access_blocked,,,,
cai_1hl1vuh,Jiyong Boo,Korea Advanced Institute of Science & Technology,1,5119,HSDF-Lane: Height-Aligned Signed Distance Field with Semantic Lane Prior for 3D Lane Detection,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=HSDF-Lane%3A+Height-Aligned+Signed+Distance+Field+with+Semantic+Lane+Prior+for+3D+Lane+Detection,,scholar_access_blocked,,,,
cai_1hmhnfq,Jeisung Lee,Samsung,1,5790,Synthetic Sub-Aperture Phase Augmentation for Demosaicing 2×2 Shared Microlens Sensors,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Synthetic+Sub-Aperture+Phase+Augmentation+for+Demosaicing+2%C3%972+Shared+Microlens+Sensors,,scholar_access_blocked,,,,
cai_1hqfvre,Sang-Hun Han,Gwangju Institute of Science and Technology,1,4193,PIAvatar: Physically Interactive Avatars via Deformation Gradient Decoupling,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=PIAvatar%3A+Physically+Interactive+Avatars+via+Deformation+Gradient+Decoupling,,scholar_access_blocked,,,,
cai_1hroo1u,HEEJU HAN,Pusan National University,1,4378,Towards Sparsely Annotated Open World Object Detection,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Towards+Sparsely+Annotated+Open+World+Object+Detection,,scholar_access_blocked,,,,
cai_1i8av7e,Jaeho Lee,Korea University,2,3800; 3801,Online Versatile Incremental Learning: Towards Class and Domain-Agnostic Adaptation at Any Time || DARE to Mitigate Hallucination: Dual-path Auto-Regressive-aware Editing,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Online+Versatile+Incremental+Learning%3A+Towards+Class+and+Domain-Agnostic+Adaptation+at+Any+Time,,scholar_access_blocked,,,,
cai_1itydzn,Seungyeon Lee,Kyungpook National University,1,4769,Direct Preference Optimization for Perceptual Alignment via Vision-Language Consistency,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=Direct+Preference+Optimization+for+Perceptual+Alignment+via+Vision-Language+Consistency,,scholar_access_blocked,,,,
cai_1j0rfa6,Seulgi Jeong,SNOW Corporation,1,5686,"H-Adapter: Pose-Robust Hairstyle Transfer via Attention-Derived, Source-Aligned Hair Masks",google_scholar_only,unknown,,https://scholar.google.com/scholar?q=H-Adapter%3A+Pose-Robust+Hairstyle+Transfer+via+Attention-Derived%2C+Source-Aligned+Hair+Masks,,scholar_access_blocked,,,,
cai_1jly6ub,DaeHyun Kim,Chungnam National University,1,4835,SAND: Stage-Aware Noise Decomposition for Training-Free Diffusion Guidance,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=SAND%3A+Stage-Aware+Noise+Decomposition+for+Training-Free+Diffusion+Guidance,,scholar_access_blocked,,,,
cai_1klag93,Minjun Kang,KAIST,1,3876,GeoNVS: Geometry Grounded Video Diffusion for Novel View Synthesis,google_scholar_only,unknown,,https://scholar.google.com/scholar?q=GeoNVS%3A+Geometry+Grounded+Video+Diffusion+for+Novel+View+Synthesis,,scholar_access_blocked,,,,
